V,T,MTTF,n,Beta,C
250,135,286,7.82,9.94,19.47
275,135,176,7.07,9.45,19.06
300,135,117,7.04,9.34,18.93
350,135,36,7.37,9.72,19.22
375,135,15.1,6.15,8.44,18.36
250,140,156,7.99,10.35,19.05
275,140,87,7.34,9.99,18.77
300,140,61,7.16,9.72,18.5
325,140,37.23,7.38,9.91,18.61
350,140,19.25,7.47,10.1,18.78
375,140,6.76,5.96,8.32,18.58
200,150,172,7.86,11.26,18.48
250,150,73,6.08,9.84,17.41
275,150,34,6.25,10.03,17.57
300,150,26,6.42,10.2,17.62
325,150,10.8,6.24,10.04,17.53
350,150,4.65,5.49,9.14,17.05
